,name,label
0,0_0,2.0
1,0_1,2.0
2,0_2,3.0
3,0_3,2.0
4,0_4,1.0
5,0_5,1.0
6,0_6,2.0
7,0_7,3.0
8,0_8,2.0
9,0_9,1.0
10,0_10,1.0
11,0_11,1.0
12,0_12,1.0
13,0_13,2.0
14,0_14,2.0
15,0_15,1.0
16,0_16,1.0
17,0_17,0.0
18,0_18,0.0
19,0_19,2.0
20,0_20,1.0
21,0_21,3.0
22,0_22,0.0
23,0_23,1.0
24,0_24,3.0
25,0_25,4.0
26,0_26,0.0
27,0_27,0.0
28,0_28,4.0
29,0_29,4.0
30,0_30,2.0
31,0_31,4.0
32,0_32,0.0
33,0_33,2.0
34,0_34,4.0
35,0_35,0.0
36,0_36,0.0
37,0_37,3.0
38,0_38,3.0
39,0_39,0.0
40,0_40,1.0
41,0_41,4.0
42,0_42,4.0
43,0_43,1.0
44,0_44,3.0
45,0_45,4.0
46,0_46,0.0
47,0_47,2.0
48,0_48,1.0
49,0_49,3.0
50,0_50,2.0
51,0_51,4.0
52,0_52,1.0
53,0_53,3.0
54,0_54,2.0
55,0_55,0.0
56,0_56,0.0
57,0_57,0.0
58,0_58,0.0
59,0_59,1.0
60,0_60,1.0
61,0_61,0.0
62,0_62,2.0
63,0_63,3.0
64,0_64,3.0
65,0_65,1.0
66,0_66,3.0
67,0_67,4.0
68,0_68,0.0
69,0_69,4.0
70,0_70,3.0
71,0_71,4.0
72,0_72,4.0
73,0_73,3.0
74,0_74,0.0
75,0_75,0.0
76,0_76,1.0
77,0_77,4.0
78,0_78,1.0
79,0_79,1.0
80,0_80,4.0
81,0_81,3.0
82,0_82,4.0
83,0_83,3.0
84,0_84,2.0
85,0_85,4.0
86,0_86,1.0
87,0_87,1.0
88,0_88,1.0
89,0_89,4.0
90,0_90,0.0
91,0_91,3.0
92,0_92,1.0
93,0_93,3.0
94,0_94,1.0
95,0_95,4.0
96,0_96,1.0
97,0_97,4.0
98,0_98,1.0
99,0_99,0.0
100,1_0,2.0
101,1_1,2.0
102,1_2,3.0
103,1_3,2.0
104,1_4,1.0
105,1_5,1.0
106,1_6,2.0
107,1_7,3.0
108,1_8,2.0
109,1_9,1.0
110,1_10,1.0
111,1_11,1.0
112,1_12,1.0
113,1_13,2.0
114,1_14,2.0
115,1_15,1.0
116,1_16,1.0
117,1_17,0.0
118,1_18,0.0
119,1_19,2.0
120,1_20,1.0
121,1_21,3.0
122,1_22,0.0
123,1_23,1.0
124,1_24,3.0
125,1_25,4.0
126,1_26,0.0
127,1_27,0.0
128,1_28,4.0
129,1_29,4.0
130,1_30,2.0
131,1_31,4.0
132,1_32,0.0
133,1_33,2.0
134,1_34,4.0
135,1_35,0.0
136,1_36,0.0
137,1_37,3.0
138,1_38,3.0
139,1_39,0.0
140,1_40,1.0
141,1_41,4.0
142,1_42,4.0
143,1_43,1.0
144,1_44,3.0
145,1_45,4.0
146,1_46,0.0
147,1_47,2.0
148,1_48,1.0
149,1_49,3.0
150,1_50,2.0
151,1_51,4.0
