,name,label
0,0_1,5
1,0_3,5
2,0_5,5
3,0_7,5
4,0_9,5
5,0_11,5
6,0_13,5
7,0_15,5
8,0_17,5
9,0_19,5
10,0_21,5
11,0_23,5
12,0_25,5
13,0_27,5
14,0_29,5
15,0_30,3
16,0_31,5
17,0_32,3
18,0_33,5
19,0_34,3
20,0_35,5
21,0_36,3
22,0_37,5
23,0_38,3
24,0_39,5
25,0_40,3
26,0_41,5
27,0_42,3
28,0_43,5
29,0_44,3
30,0_45,5
31,0_46,3
32,0_47,5
33,0_48,3
34,0_49,5
35,0_50,3
36,0_51,5
37,0_52,3
38,0_53,5
39,0_54,3
40,0_55,5
41,0_56,3
42,0_57,5
43,0_58,3
44,0_59,5
45,0_60,2
46,0_61,5
47,0_62,2
48,0_63,5
49,0_64,2
50,0_65,5
51,0_66,2
52,0_67,5
53,0_68,2
54,0_69,5
55,0_70,2
56,0_71,5
57,0_72,2
58,0_73,5
59,0_74,2
60,0_75,5
61,0_76,2
62,0_77,5
63,0_78,2
64,0_79,5
65,0_80,2
66,0_81,5
67,0_82,2
68,0_83,5
69,0_84,2
70,0_85,5
71,0_86,2
72,0_87,5
73,0_88,2
74,0_89,5
75,0_91,5
76,0_93,5
77,0_95,5
78,0_97,5
79,0_99,5
80,0_101,5
81,0_103,5
82,0_105,5
83,0_107,5
84,0_109,5
85,0_111,5
86,0_113,5
87,0_115,5
88,0_117,5
89,0_119,5
90,0_120,0
91,0_121,5
92,0_122,0
93,0_123,5
94,0_124,0
95,0_125,5
96,0_126,0
97,0_127,5
98,0_128,0
99,0_129,5
100,0_130,0
101,0_131,5
102,0_132,0
103,0_133,5
104,0_134,0
105,0_135,5
106,0_136,0
107,0_137,5
108,0_138,0
109,0_139,5
110,0_140,0
111,0_141,5
112,0_142,0
113,0_143,5
114,0_144,0
115,0_145,5
116,0_146,0
117,0_147,5
118,0_148,0
119,0_149,5
120,0_150,5
121,0_151,5
122,0_152,5
123,0_153,5
124,0_154,5
125,0_155,5
126,0_156,5
127,0_157,5
128,0_158,5
129,0_159,5
130,0_160,5
131,0_161,5
132,0_162,5
133,0_163,5
134,0_164,5
135,0_165,5
136,0_166,5
137,0_167,5
138,0_168,5
139,0_169,5
140,0_170,5
141,0_171,5
142,0_172,5
143,0_173,5
144,0_174,5
145,0_175,5
146,0_176,5
147,0_177,5
148,0_178,5
149,0_179,5
150,0_180,5
151,0_181,5
152,0_182,5
153,0_183,5
154,0_184,5
155,0_185,5
156,0_186,5
157,0_187,5
158,0_188,5
159,0_189,5
160,0_190,5
161,0_191,5
162,0_192,5
163,0_193,5
164,0_194,5
165,0_195,5
166,0_196,5
167,0_197,5
168,0_198,5
169,0_199,5
170,0_201,6
171,0_204,8
172,0_206,6
173,0_209,8
174,0_211,6
175,0_214,8
176,0_216,6
177,0_219,8
178,0_221,6
