,name,label
0,0_0,3
1,0_1,4
2,0_2,3
3,0_3,4
4,0_4,3
5,0_5,4
6,0_6,3
7,0_7,4
8,0_8,3
9,0_9,4
10,0_10,3
11,0_11,4
12,0_12,3
13,0_13,4
14,0_14,3
15,0_15,4
16,0_16,3
17,0_17,4
18,0_18,3
19,0_19,4
20,0_20,3
21,0_21,4
22,0_22,3
23,0_23,4
24,0_24,3
25,0_25,4
26,0_26,3
27,0_27,4
28,0_28,3
29,0_29,4
30,0_30,2
31,0_31,4
32,0_32,1
33,0_33,4
34,0_34,0
35,0_35,4
36,0_36,4
37,0_37,4
38,0_38,4
39,0_39,4
40,0_40,4
41,0_41,4
42,0_42,4
43,0_43,4
44,0_44,4
45,0_45,4
46,0_46,4
47,0_47,4
48,0_48,4
49,0_49,4
50,0_50,8
51,0_51,5
52,0_52,6
53,0_53,6
54,0_54,7
55,0_55,8
56,0_56,5
57,0_57,6
58,0_58,6
59,0_59,7
60,0_60,8
61,0_61,5
62,0_62,6
63,0_63,6
64,0_64,7
65,0_65,8
66,0_66,5
67,0_67,6
68,0_68,6
69,0_69,7
70,0_70,8
71,0_71,5
72,0_72,6
73,0_73,6
74,0_74,7
75,0_75,8
76,0_76,5
77,0_77,6
78,0_78,6
79,0_79,7
80,0_80,8
81,0_81,5
82,0_82,6
83,0_83,6
84,0_84,7
85,0_85,8
86,0_86,5
87,0_87,6
88,0_88,6
89,0_89,7
90,0_90,8
91,0_91,5
92,0_92,6
93,0_93,6
94,0_94,7
95,0_95,8
96,0_96,5
97,0_97,6
98,0_98,6
99,0_99,7
100,0_100,8
101,0_101,5
102,0_102,6
103,0_103,6
104,0_104,7
105,0_105,8
106,0_106,5
107,0_107,6
108,0_108,6
109,0_109,7
110,0_110,8
111,0_111,5
112,0_112,6
113,0_113,6
114,0_114,7
115,0_115,8
116,0_116,5
117,0_117,6
118,0_118,6
119,0_119,7
120,0_120,8
121,0_121,5
122,0_122,6
123,0_123,6
124,0_124,7
125,0_125,10
126,0_126,9
127,0_127,9
128,0_128,9
129,0_129,9
130,0_130,9
131,0_131,12
132,0_132,11
133,0_133,11
134,0_134,11
135,0_135,11
136,0_136,11
137,0_137,11
138,0_138,16
139,0_139,14
140,0_140,15
141,0_141,15
142,0_142,15
143,0_143,14
144,0_144,13
145,1_0,3
146,1_1,4
147,1_2,2
148,1_3,4
149,1_4,2
150,1_5,4
151,1_6,2
152,1_7,4
153,1_8,2
154,1_9,4
155,1_10,2
156,1_11,4
157,1_12,2
158,1_13,4
159,1_14,2
160,1_15,4
161,1_16,2
162,1_17,4
163,1_18,2
164,1_19,4
165,1_20,2
166,1_21,4
167,1_22,2
168,1_23,4
169,1_24,2
170,1_25,4
171,1_26,2
172,1_27,4
173,1_28,2
174,1_29,4
175,1_30,2
176,1_31,4
177,1_32,1
178,1_33,4
179,1_34,0
180,1_35,4
181,1_36,4
182,1_37,4
183,1_38,4
184,1_39,4
185,1_40,4
186,1_41,4
187,1_42,4
188,1_43,4
189,1_44,4
190,1_45,4
191,1_46,4
192,1_47,4
193,1_48,4
194,1_49,4
195,1_50,8
196,1_51,5
197,1_52,6
198,1_53,6
199,1_54,7
200,1_55,10
201,1_56,9
202,1_57,9
203,1_58,9
204,1_59,9
205,1_60,9
206,1_61,10
207,1_62,9
208,1_63,9
209,1_64,9
210,1_65,9
211,1_66,9
212,1_67,10
213,1_68,9
214,1_69,9
215,1_70,9
216,1_71,9
217,1_72,9
218,1_73,10
219,1_74,9
220,1_75,9
221,1_76,9
222,1_77,9
223,1_78,9
224,1_79,10
225,1_80,9
226,1_81,9
227,1_82,9
228,1_83,9
229,1_84,9
230,1_85,10
231,1_86,9
232,1_87,9
233,1_88,9
234,1_89,9
235,1_90,9
236,1_91,10
237,1_92,9
238,1_93,9
239,1_94,9
240,1_95,9
241,1_96,9
242,1_97,10
243,1_98,9
244,1_99,9
245,1_100,9
246,1_101,9
247,1_102,9
248,1_103,10
249,1_104,9
250,1_105,9
251,1_106,9
252,1_107,9
253,1_108,9
254,1_109,10
255,1_110,9
256,1_111,9
257,1_112,9
258,1_113,9
259,1_114,9
260,1_115,10
261,1_116,9
262,1_117,9
263,1_118,9
264,1_119,9
265,1_120,9
266,1_121,10
267,1_122,9
268,1_123,9
269,1_124,9
270,1_125,9
271,1_126,9
272,1_127,10
273,1_128,9
274,1_129,9
275,1_130,9
276,1_131,9
277,1_132,9
278,1_133,10
279,1_134,9
280,1_135,9
281,1_136,9
282,1_137,9
283,1_138,9
284,1_139,10
285,1_140,9
286,1_141,9
287,1_142,9
288,1_143,9
289,1_144,9
290,1_145,12
291,1_146,11
292,1_147,11
293,1_148,11
294,1_149,11
295,1_150,11
296,1_151,11
