,name,label
0,0_0,6
1,0_1,0
2,0_2,4
3,0_3,0
4,0_4,0
5,0_5,6
6,0_6,0
7,0_7,8
8,0_8,0
9,0_9,0
10,0_10,2
11,0_11,0
12,0_12,2
13,0_13,0
14,0_14,2
15,0_15,2
16,0_16,8
17,0_17,0
18,0_18,2
19,0_19,7
20,0_20,2
21,0_21,3
22,0_22,8
23,0_23,3
24,0_24,3
25,0_25,3
26,0_26,7
27,0_27,7
28,0_28,4
29,0_29,8
30,0_30,5
31,0_31,6
32,0_32,6
33,0_33,7
34,0_34,8
35,0_35,2
36,0_36,7
37,0_37,7
38,0_38,7
39,0_39,2
40,0_40,5
41,0_41,4
42,0_42,8
43,0_43,1
44,0_44,1
45,0_45,5
46,0_46,5
47,0_47,3
48,0_48,5
49,0_49,1
50,0_50,4
51,0_51,5
52,0_52,1
53,0_53,5
54,0_54,5
55,0_55,4
56,0_56,1
57,0_57,8
58,0_58,7
59,0_59,7
60,0_60,3
61,0_61,5
62,0_62,4
63,0_63,1
64,0_64,4
65,0_65,1
66,0_66,7
67,0_67,8
68,0_68,3
69,0_69,7
70,0_70,3
71,0_71,6
72,0_72,7
73,0_73,6
74,0_74,3
75,0_75,7
76,0_76,7
77,0_77,7
78,0_78,7
79,0_79,5
80,0_80,2
81,0_81,7
82,0_82,8
83,0_83,7
84,0_84,3
85,0_85,1
86,0_86,4
87,0_87,3
88,0_88,7
89,0_89,5
90,0_90,8
91,0_91,7
92,0_92,6
93,0_93,7
94,0_94,1
95,0_95,5
96,0_96,1
97,0_97,1
98,0_98,1
99,0_99,1
100,0_100,1
101,0_101,1
102,0_102,5
103,0_103,5
104,0_104,8
105,0_105,9
106,0_106,5
107,0_107,9
108,0_108,1
109,0_109,1
110,0_110,4
111,0_111,7
112,0_112,1
113,0_113,8
114,0_114,1
115,0_115,1
116,0_116,1
117,0_117,1
118,0_118,7
119,0_119,9
120,0_120,4
121,0_121,1
122,0_122,5
123,0_123,1
124,0_124,9
125,0_125,1
126,0_126,9
127,0_127,5
128,0_128,4
129,0_129,1
130,0_130,5
131,0_131,1
132,0_132,1
133,0_133,4
134,0_134,1
135,0_135,9
136,0_136,9
137,0_137,9
138,0_138,9
139,0_139,1
140,0_140,1
141,0_141,9
142,0_142,9
143,0_143,5
144,0_144,4
145,0_145,1
146,0_146,9
147,0_147,1
148,0_148,9
149,0_149,4
150,0_150,9
151,0_151,4
152,0_152,4
153,0_153,9
154,0_154,1
155,0_155,1
156,0_156,7
157,0_157,1
158,0_158,9
159,0_159,9
160,0_160,4
161,0_161,4
162,0_162,1
163,0_163,9
164,0_164,4
165,0_165,1
166,0_166,1
167,0_167,1
168,0_168,9
169,0_169,4
170,0_170,9
171,0_171,1
172,0_172,1
173,0_173,9
174,0_174,4
175,0_175,5
176,0_176,9
177,0_177,4
178,0_178,4
179,0_179,9
180,0_180,5
181,0_181,9
182,0_182,1
183,0_183,9
184,0_184,1
185,0_185,9
186,0_186,9
187,0_187,9
188,0_188,9
189,0_189,1
190,0_190,9
191,0_191,9
192,0_192,9
193,0_193,4
194,0_194,1
195,0_195,1
196,0_196,9
197,0_197,5
198,0_198,1
199,0_199,9
