,name,label
0,0_4,0
1,0_5,6
2,0_11,0
3,0_12,2
4,0_13,0
5,0_14,2
6,0_16,8
7,0_17,0
8,0_18,2
9,0_19,7
10,0_27,7
11,0_28,4
12,0_29,8
13,0_31,6
14,0_33,7
15,0_34,8
16,0_35,2
17,0_36,7
18,0_38,7
19,0_39,2
20,0_40,5
21,0_42,8
22,0_44,1
23,0_45,5
24,0_47,3
25,0_48,5
26,0_51,5
27,0_53,5
28,0_54,5
29,0_56,1
30,0_58,7
31,0_59,7
32,0_66,7
33,0_67,8
34,0_69,7
35,0_73,6
36,0_78,7
37,0_81,7
38,0_82,8
39,0_84,3
40,0_89,5
41,0_90,8
42,0_93,7
43,0_94,1
44,0_95,5
45,0_97,1
46,0_98,1
47,0_99,1
48,0_102,5
49,0_103,5
50,0_105,9
51,0_106,5
52,0_107,9
53,0_108,1
54,0_110,4
55,0_113,8
56,0_114,1
57,0_116,1
58,0_117,1
59,0_118,7
60,0_119,9
61,0_120,4
62,0_122,5
63,0_123,1
64,0_124,9
65,0_127,5
66,0_132,1
67,0_136,9
68,0_138,9
69,0_148,9
70,0_153,9
71,0_154,1
72,0_158,9
73,0_159,9
74,0_161,4
75,0_162,1
76,0_165,1
77,0_166,1
78,0_168,9
79,0_171,1
80,0_172,1
81,0_173,9
82,0_174,4
83,0_176,9
84,0_177,4
85,0_179,9
86,0_181,9
87,0_183,9
88,0_184,1
89,0_185,9
90,0_186,9
91,0_187,9
92,0_189,1
93,0_191,9
94,0_193,4
95,0_194,1
96,0_195,1
97,0_197,5
98,0_198,1
99,0_199,9
