,name,label
0,0_0,0
1,0_1,0
2,0_2,0
3,0_3,0
4,0_4,0
5,0_5,0
6,0_6,0
7,0_7,0
8,0_8,0
9,0_9,0
10,0_10,0
11,0_11,0
12,0_12,0
13,0_13,0
14,0_14,0
15,0_15,0
16,0_16,0
17,0_17,0
18,0_18,0
19,0_19,0
20,0_20,0
21,0_21,0
22,0_22,0
23,0_23,0
24,0_24,0
25,0_25,0
26,0_26,0
27,0_27,0
28,0_28,0
29,0_29,0
30,0_30,1
31,0_31,1
32,0_32,1
33,0_33,1
34,0_34,1
35,0_35,1
36,0_36,1
37,0_37,1
38,0_38,1
39,0_39,1
40,0_40,1
41,0_41,1
42,0_42,1
43,0_43,1
44,0_44,1
45,0_45,1
46,0_46,1
47,0_47,1
48,0_48,1
49,0_49,1
50,0_50,1
51,0_51,1
52,0_52,1
53,0_53,1
54,0_54,1
55,0_55,1
56,0_56,1
57,0_57,1
58,0_58,1
59,0_59,1
60,0_60,2
61,0_61,2
62,0_62,2
63,0_63,2
64,0_64,2
65,0_65,2
66,0_66,2
67,0_67,2
68,0_68,2
69,0_69,2
70,0_70,2
71,0_71,2
72,0_72,2
73,0_73,2
74,0_74,2
75,0_75,2
76,0_76,2
77,0_77,2
78,0_78,2
79,0_79,2
80,0_80,2
81,0_81,2
82,0_82,2
83,0_83,2
84,0_84,2
85,0_85,2
86,0_86,2
87,0_87,2
88,0_88,2
89,0_89,2
90,0_90,3
91,0_91,3
92,0_92,3
93,0_93,3
94,0_94,3
95,0_95,3
96,0_96,3
97,0_97,3
98,0_98,3
99,0_99,3
100,0_100,3
101,0_101,3
102,0_102,3
103,0_103,3
104,0_104,3
105,0_105,3
106,0_106,3
107,0_107,3
108,0_108,3
109,0_109,3
110,0_110,3
111,0_111,3
112,0_112,3
113,0_113,3
114,0_114,3
115,0_115,3
116,0_116,3
117,0_117,3
118,0_118,3
119,0_119,3
120,0_120,4
121,0_121,4
122,0_122,4
123,0_123,4
124,0_124,4
125,0_125,4
126,0_126,4
127,0_127,4
128,0_128,4
129,0_129,4
130,0_130,4
131,0_131,4
132,0_132,4
133,0_133,4
134,0_134,4
135,0_135,4
136,0_136,4
137,0_137,4
138,0_138,4
139,0_139,4
140,0_140,4
141,0_141,4
142,0_142,4
143,0_143,4
144,0_144,4
145,0_145,4
146,0_146,4
147,0_147,4
148,0_148,4
149,0_149,4
150,0_150,5
151,0_151,5
152,0_152,5
153,0_153,5
154,0_154,5
155,0_155,5
156,0_156,5
157,0_157,5
158,0_158,5
159,0_159,5
160,0_160,5
161,0_161,5
162,0_162,5
163,0_163,5
164,0_164,5
165,0_165,5
166,0_166,5
167,0_167,5
168,0_168,5
169,0_169,5
170,0_170,5
171,0_171,5
172,0_172,5
173,0_173,5
174,0_174,5
175,0_175,5
176,0_176,5
177,0_177,5
178,0_178,5
179,0_179,5
180,0_180,6
181,0_181,6
182,0_182,6
183,0_183,6
184,0_184,6
185,0_185,6
186,0_186,6
187,0_187,6
188,0_188,6
189,0_189,6
190,0_190,6
191,0_191,6
192,0_192,6
193,0_193,6
194,0_194,6
195,0_195,6
196,0_196,6
197,0_197,6
198,0_198,6
199,0_199,6
200,0_200,6
201,0_201,6
202,0_202,6
203,0_203,6
204,0_204,6
205,0_205,6
206,0_206,6
207,0_207,6
208,0_208,6
209,0_209,6
210,0_210,7
211,0_211,7
212,0_212,7
213,0_213,7
214,0_214,7
215,0_215,7
216,0_216,7
217,0_217,7
218,0_218,7
219,0_219,7
220,0_220,7
221,0_221,7
222,0_222,7
223,0_223,7
224,0_224,7
225,0_225,7
226,0_226,7
227,0_227,7
228,0_228,7
229,0_229,7
230,0_230,7
231,0_231,7
232,0_232,7
233,0_233,7
234,0_234,7
235,0_235,7
236,0_236,7
237,0_237,7
238,0_238,7
239,0_239,7
240,0_240,8
241,0_241,8
242,0_242,8
243,0_243,8
244,0_244,8
245,0_245,8
246,0_246,8
247,0_247,8
248,0_248,8
249,0_249,8
250,0_250,8
251,0_251,8
252,0_252,8
253,0_253,8
254,0_254,8
255,0_255,8
256,0_256,8
257,0_257,8
258,0_258,8
259,0_259,8
260,0_260,8
261,0_261,8
262,0_262,8
263,0_263,8
264,0_264,8
265,0_265,8
266,0_266,8
267,0_267,8
268,0_268,8
269,0_269,8
270,0_270,9
271,0_271,9
272,0_272,9
273,0_273,9
274,0_274,9
275,0_275,9
276,0_276,9
277,0_277,9
278,0_278,9
279,0_279,9
280,0_280,9
281,0_281,9
282,0_282,9
283,0_283,9
284,0_284,9
285,0_285,9
286,0_286,9
287,0_287,9
288,0_288,9
289,0_289,9
290,0_290,9
291,0_291,9
292,0_292,9
293,0_293,9
294,0_294,9
295,0_295,9
296,0_296,9
297,0_297,9
298,0_298,9
299,0_299,9
