,name,label
0,0_3,0
1,0_4,0
2,0_5,0
3,0_6,0
4,0_10,0
5,0_12,0
6,0_13,0
7,0_14,0
8,0_15,0
9,0_16,0
10,0_17,0
11,0_23,0
12,0_24,0
13,0_25,0
14,0_30,1
15,0_31,1
16,0_34,1
17,0_37,1
18,0_38,1
19,0_40,1
20,0_41,1
21,0_42,1
22,0_43,1
23,0_45,1
24,0_46,1
25,0_47,1
26,0_50,1
27,0_51,1
28,0_57,1
29,0_58,1
30,0_61,2
31,0_63,2
32,0_64,2
33,0_65,2
34,0_66,2
35,0_67,2
36,0_70,2
37,0_72,2
38,0_73,2
39,0_74,2
40,0_77,2
41,0_78,2
42,0_79,2
43,0_82,2
44,0_83,2
45,0_84,2
46,0_85,2
47,0_87,2
48,0_88,2
49,0_89,2
50,0_94,3
51,0_98,3
52,0_101,3
53,0_102,3
54,0_103,3
55,0_105,3
56,0_108,3
57,0_109,3
58,0_111,3
59,0_114,3
60,0_115,3
61,0_118,3
62,0_121,4
63,0_122,4
64,0_123,4
65,0_124,4
66,0_126,4
67,0_127,4
68,0_128,4
69,0_130,4
70,0_132,4
71,0_134,4
72,0_136,4
73,0_139,4
74,0_140,4
75,0_142,4
76,0_143,4
77,0_146,4
78,0_149,4
79,0_151,5
80,0_153,5
81,0_154,5
82,0_155,5
83,0_157,5
84,0_159,5
85,0_161,5
86,0_162,5
87,0_163,5
88,0_166,5
89,0_168,5
90,0_170,5
91,0_175,5
92,0_177,5
93,0_180,6
94,0_181,6
95,0_190,6
96,0_195,6
97,0_196,6
98,0_197,6
99,0_198,6
100,0_199,6
101,0_200,6
102,0_201,6
103,0_203,6
104,0_210,7
105,0_211,7
106,0_213,7
107,0_214,7
108,0_215,7
109,0_217,7
110,0_220,7
111,0_221,7
112,0_222,7
113,0_224,7
114,0_225,7
115,0_226,7
116,0_227,7
117,0_229,7
118,0_230,7
119,0_231,7
120,0_233,7
121,0_237,7
122,0_241,8
123,0_243,8
124,0_244,8
125,0_246,8
126,0_247,8
127,0_248,8
128,0_251,8
129,0_254,8
130,0_257,8
131,0_259,8
132,0_263,8
133,0_269,8
134,0_270,9
135,0_271,9
136,0_273,9
137,0_278,9
138,0_281,9
139,0_282,9
140,0_283,9
141,0_284,9
142,0_285,9
143,0_286,9
144,0_288,9
145,0_290,9
146,0_292,9
147,0_294,9
148,0_297,9
149,0_298,9
