,name,label
0,0_0,3
1,0_1,3
2,0_2,3
3,0_3,3
4,0_4,3
5,0_5,3
6,0_6,3
7,0_7,3
8,0_8,3
9,0_9,3
10,0_10,2
11,0_11,2
12,0_12,2
13,0_13,2
14,0_14,2
15,0_15,2
16,0_16,2
17,0_17,2
18,0_18,2
19,0_19,2
20,0_20,1
21,0_21,1
22,0_22,1
23,0_23,1
24,0_24,1
25,0_25,1
26,0_26,1
27,0_27,1
28,0_28,1
29,0_29,1
30,0_30,0
31,0_31,0
32,0_32,0
33,0_33,0
34,0_34,0
35,0_35,0
36,0_36,0
37,0_37,0
38,0_38,0
39,0_39,0
40,0_40,4
41,0_41,4
42,0_42,4
43,0_43,4
44,0_44,4
45,0_45,4
46,0_46,4
47,0_47,4
48,0_48,4
49,0_49,4
50,0_50,8
51,0_51,5
52,0_52,6
53,0_53,6
54,0_54,7
55,0_55,8
56,0_56,5
57,0_57,6
58,0_58,6
59,0_59,7
60,0_60,8
61,0_61,5
62,0_62,6
63,0_63,6
64,0_64,7
65,0_65,8
66,0_66,5
67,0_67,6
68,0_68,6
69,0_69,7
70,0_70,8
71,0_71,5
72,0_72,6
73,0_73,6
74,0_74,7
75,0_75,8
76,0_76,5
77,0_77,6
78,0_78,6
79,0_79,7
80,0_80,8
81,0_81,5
82,0_82,6
83,0_83,6
84,0_84,7
85,0_85,8
86,0_86,5
87,0_87,6
88,0_88,6
89,0_89,7
90,0_90,8
91,0_91,5
92,0_92,6
93,0_93,6
94,0_94,7
95,0_95,8
96,0_96,5
97,0_97,6
98,0_98,6
99,0_99,7
100,0_100,10
101,0_101,9
102,0_102,9
103,0_103,9
104,0_104,9
105,0_105,9
106,0_106,10
107,0_107,9
108,0_108,9
109,0_109,9
110,0_110,9
111,0_111,9
112,0_112,10
113,0_113,9
114,0_114,9
115,0_115,9
116,0_116,9
117,0_117,9
118,0_118,10
119,0_119,9
120,0_120,9
121,0_121,9
122,0_122,9
123,0_123,9
124,0_124,10
125,0_125,9
126,0_126,9
127,0_127,9
128,0_128,9
129,0_129,9
130,0_130,10
131,0_131,9
132,0_132,9
133,0_133,9
134,0_134,9
135,0_135,9
136,0_136,10
137,0_137,9
138,0_138,9
139,0_139,9
140,0_140,9
141,0_141,9
142,0_142,10
143,0_143,9
144,0_144,9
145,0_145,9
146,0_146,9
147,0_147,9
148,0_148,10
149,0_149,9
150,0_150,9
151,0_151,9
152,0_152,9
153,0_153,9
154,0_154,10
155,0_155,9
156,0_156,9
157,0_157,9
158,0_158,9
159,0_159,9
160,0_160,12
161,0_161,11
162,0_162,11
163,0_163,11
164,0_164,11
165,0_165,11
166,0_166,11
167,0_167,12
168,0_168,11
169,0_169,11
170,0_170,11
171,0_171,11
172,0_172,11
173,0_173,11
174,0_174,12
175,0_175,11
176,0_176,11
177,0_177,11
178,0_178,11
179,0_179,11
180,0_180,11
181,0_181,12
182,0_182,11
183,0_183,11
184,0_184,11
185,0_185,11
186,0_186,11
187,0_187,11
188,0_188,12
189,0_189,11
190,0_190,11
191,0_191,11
192,0_192,11
193,0_193,11
194,0_194,11
195,0_195,12
196,0_196,11
197,0_197,11
198,0_198,11
199,0_199,11
200,0_200,11
201,0_201,11
202,0_202,12
203,0_203,11
204,0_204,11
205,0_205,11
206,0_206,11
207,0_207,11
208,0_208,11
209,0_209,12
210,0_210,11
211,0_211,11
212,0_212,11
213,0_213,11
214,0_214,11
215,0_215,11
216,0_216,12
217,0_217,11
218,0_218,11
219,0_219,11
220,0_220,11
221,0_221,11
222,0_222,11
223,0_223,12
224,0_224,11
225,0_225,11
226,0_226,11
227,0_227,11
228,0_228,11
229,0_229,11
230,0_230,16
231,0_231,14
232,0_232,15
233,0_233,15
234,0_234,15
235,0_235,14
236,0_236,13
237,0_237,16
238,0_238,14
239,0_239,15
240,0_240,15
241,0_241,15
242,0_242,14
243,0_243,13
244,0_244,16
245,0_245,14
246,0_246,15
247,0_247,15
248,0_248,15
249,0_249,14
250,0_250,13
251,0_251,16
252,0_252,14
253,0_253,15
254,0_254,15
255,0_255,15
256,0_256,14
257,0_257,13
258,0_258,16
259,0_259,14
260,0_260,15
261,0_261,15
262,0_262,15
263,0_263,14
264,0_264,13
265,0_265,16
266,0_266,14
267,0_267,15
268,0_268,15
269,0_269,15
270,0_270,14
271,0_271,13
272,0_272,16
273,0_273,14
274,0_274,15
275,0_275,15
276,0_276,15
277,0_277,14
278,0_278,13
279,0_279,16
280,0_280,14
281,0_281,15
282,0_282,15
283,0_283,15
284,0_284,14
285,0_285,13
286,0_286,16
287,0_287,14
288,0_288,15
289,0_289,15
290,0_290,15
291,0_291,14
292,0_292,13
293,0_293,16
294,0_294,14
295,0_295,15
296,0_296,15
297,0_297,15
298,0_298,14
299,0_299,13
