,name,label
0,0_6,3
1,0_13,2
2,0_14,2
3,0_18,2
4,0_24,1
5,0_33,0
6,0_43,4
7,0_45,4
8,0_46,4
9,0_61,5
10,0_63,6
11,0_68,6
12,0_70,8
13,0_92,6
14,0_99,7
15,0_112,10
16,0_123,9
17,0_124,10
18,0_137,9
19,0_142,10
20,0_147,9
21,0_152,9
22,0_153,9
23,0_160,12
24,0_166,11
25,0_172,11
26,0_180,11
27,0_184,11
28,0_191,11
29,0_192,11
30,0_202,12
31,0_203,11
32,0_216,12
33,0_218,11
34,0_230,16
35,0_233,15
36,0_239,15
37,0_241,15
38,0_247,15
39,0_269,15
40,0_284,14
41,0_293,16
42,0_294,14
43,0_295,15
44,0_296,15
